Linux 3.8.0-19-generic (ip-10-58-125-169) 	06/06/2013 	_x86_64_	(1 CPU)

08:44:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
08:47:48 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:49 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:50 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:51 PM  all   89.81    0.00    0.00    0.00    0.00    0.00   10.19    0.00    0.00
08:47:52 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:53 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:55 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:56 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:57 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:58 PM  all    2.50    0.00    0.00    0.00    0.00    0.00   97.50    0.00    0.00
08:47:59 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:00 PM  all   10.49    0.00    0.00    0.00    0.00    0.00   89.51    0.00    0.00
08:48:01 PM  all   11.11    0.00    0.00    0.00    0.00    0.00   88.89    0.00    0.00
08:48:02 PM  all   12.82    0.00    0.00    0.00    0.00    0.00   87.18    0.00    0.00
08:48:03 PM  all   11.61    0.00    0.89    0.00    0.00    0.00   87.50    0.00    0.00
08:48:04 PM  all   20.83    0.00    1.39    0.00    0.00    0.00   77.78    0.00    0.00
08:48:05 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:06 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:07 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:08 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:09 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:11 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:12 PM  all    1.69    0.00    0.00    0.00    0.00    0.00   98.31    0.00    0.00
08:48:13 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:14 PM  all    7.28    0.00    0.00    0.00    0.00    0.00   92.72    0.00    0.00
08:48:15 PM  all   15.91    0.00    0.00    0.00    0.00    0.00   84.09    0.00    0.00
08:48:16 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:17 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:18 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:19 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:20 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:22 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:23 PM  all    2.05    0.00    0.00    0.00    0.00    0.00   97.95    0.00    0.00
08:48:24 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:25 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:26 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:27 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:28 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:29 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:30 PM  all    1.96    0.00    0.00    0.00    0.00    0.00   98.04    0.00    0.00
08:48:31 PM  all    8.11    0.00    0.00    0.00    0.00    0.00   91.89    0.00    0.00
08:48:32 PM  all   32.61    0.00    0.00    0.00    0.00    0.00   67.39    0.00    0.00
08:48:33 PM  all   20.51    0.00    0.00    0.00    0.00    0.00   79.49    0.00    0.00
08:48:34 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:35 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:36 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:37 PM  all    3.06    0.00    0.00    0.00    0.00    0.00   96.94    0.00    0.00
08:48:39 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:40 PM  all    6.67    0.00    0.00    0.00    0.00    0.00   93.33    0.00    0.00
08:48:41 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:42 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:43 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:44 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:45 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:46 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:47 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:48 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:49 PM  all   93.33    0.00    6.67    0.00    0.00    0.00    0.00    0.00    0.00
08:48:50 PM  all    1.54    0.00    0.00    0.00    0.00    0.00   98.46    0.00    0.00
08:48:51 PM  all   16.09    0.00    0.00    0.00    0.00    0.00   83.91    0.00    0.00
08:48:52 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:54 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:55 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:56 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:57 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:58 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:48:59 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:00 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:01 PM  all    1.86    0.00    0.00    0.00    0.00    0.00   98.14    0.00    0.00
08:49:02 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:03 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:04 PM  all    5.36    0.00    0.00    0.00    0.00    0.00   94.64    0.00    0.00
08:49:05 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:06 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:07 PM  all   93.33    0.00    6.67    0.00    0.00    0.00    0.00    0.00    0.00
08:49:08 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:09 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:10 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:12 PM  all    2.23    0.00    0.00    0.00    0.00    0.00   97.77    0.00    0.00
08:49:13 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:14 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:15 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:16 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:17 PM  all    2.89    0.00    0.00    0.00    0.00    0.00   97.11    0.00    0.00
08:49:18 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:19 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:20 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:21 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:22 PM  all   22.15    0.00    0.00    0.00    0.00    0.00   77.85    0.00    0.00
08:49:23 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:24 PM  all   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:25 PM  all   98.04    0.00    0.00    0.00    0.00    0.00    1.96    0.00    0.00
08:49:26 PM  all   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00
08:49:27 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:28 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:29 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:30 PM  all    5.30    0.00    0.00    0.00    0.00    0.00   94.70    0.00    0.00
08:49:31 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:32 PM  all    7.22    0.00    0.00    0.00    0.00    0.00   92.78    0.00    0.00
08:49:33 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:34 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:35 PM  all    5.34    0.00    0.00    0.00    0.00    0.00   94.66    0.00    0.00
08:49:36 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:37 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:39 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:40 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:41 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:42 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:49:43 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
